1: ([37.806229, -122.206057], [37.625879, -122.324798])
2: ([37.705078, -122.225127], [37.557904, -122.236422])
3: ([37.441152, -122.272030], [37.441362, -122.245292])
4: ([37.799287, -122.087331], [37.654499, -122.068813])
5: ([37.790444, -122.291661], [37.499184, -122.088448])
6: ([37.557584, -122.297988], [37.454454, -122.290227])
7: ([37.785954, -122.308203], [37.799849, -122.225152])
8: ([37.755730, -122.114136], [37.708842, -122.210503])
9: ([37.519751, -122.098060], [37.417365, -122.147489])
10: ([37.760578, -122.288777], [37.453706, -122.321277])
11: ([37.618683, -122.288793], [37.646244, -122.225376])
12: ([37.700827, -122.266045], [37.795110, -122.233426])
13: ([37.712880, -122.294312], [37.707537, -122.275078])
14: ([37.674847, -122.263877], [37.564788, -122.187269])
15: ([37.681438, -122.366177], [37.505008, -122.126064])
